address,orientation
37 BROMBOROUGH ROAD,W
38 BROMBOROUGH ROAD,W
39 BROMBOROUGH ROAD,SE
40 BROMBOROUGH ROAD,S
32 PARK AVENUE,W
33 PARK AVENUE,W
63 PARK AVENUE,W
65 PARK AVENUE,W
67 PARK AVENUE,W
69 PARK AVENUE,W
429 PENSHURST STREET,W
431 PENSHURST STREET,N
437 PENSHURST STREET,NW
439 PENSHURST STREET,E
441 PENSHURST STREET,NE
443 PENSHURST STREET,SE
3 MELNOTTE AVENUE,E
5 MELNOTTE AVENUE,NW
6 MELNOTTE AVENUE,NE
7 MELNOTTE AVENUE,NE
8 MELNOTTE AVENUE,W
462 PENSHURST STREET,W
464 PENSHURST STREET,S
52 WILLIAM STREET,W
53 WILLIAM STREET,W
55 WILLIAM STREET,SW
58 WILLIAM STREET,S
120 BOUNDARY STREET,N
121 BOUNDARY STREET,N
122 BOUNDARY STREET,E
123 BOUNDARY STREET,NE
126 BOUNDARY STREET,NW
127 BOUNDARY STREET,SW
129 BOUNDARY STREET,SW
132 BOUNDARY STREET,W
133 BOUNDARY STREET,W
10 ECHO STREET,SW
2 ECHO STREET,SW
15 MARGARET STREET,SW
25 MARGARET STREET,SW
27 MARGARET STREET,SW
29 MARGARET STREET,NW
1A RAWHITI STREET,E
3 RAWHITI STREET,SE
96 WILLIAM STREET,S
9 SCOTT CRESCENT,N
"UNIT 5, 180 PACIFIC HIGHWAY",S
"UNIT 6, 180 PACIFIC HIGHWAY",SW
"UNIT 7, 180 PACIFIC HIGHWAY",SW
"UNIT 9, 180 PACIFIC HIGHWAY",SW
180 PACIFIC HIGHWAY,NE
10 GRIFFITH AVENUE,SW
11 GRIFFITH AVENUE,NW
14 GRIFFITH AVENUE,NE
18 GRIFFITH AVENUE,NE
18 BOUNDARY STREET,NW
39 WARRANE ROAD,E
47 WARRANE ROAD,NE
9 WARRANE ROAD,NE
37 BOUNDARY STREET,NE
38 BOUNDARY STREET,SW
39 BOUNDARY STREET,S
42 BOUNDARY STREET,NE
44 BOUNDARY STREET,NE
18 PACIFIC HIGHWAY,NE
149 BOUNDARY STREET,S
151 BOUNDARY STREET,E
16 BOUNDARY STREET,E
8 ALISON STREET,NE
9 ALISON STREET,SW
11 AMARNA PARADE,SW
15 AMARNA PARADE,NE
19 AMARNA PARADE,NE
33 DUNTROON AVENUE,SW
34 DUNTROON AVENUE,NE
35 DUNTROON AVENUE,NE
36 DUNTROON AVENUE,W
38 DUNTROON AVENUE,W
40 DUNTROON AVENUE,E
41 DUNTROON AVENUE,E
47 DUNTROON AVENUE,W
49 DUNTROON AVENUE,N
15 KING EDWARD STREET,E
2A KING EDWARD STREET,SW
5 KING EDWARD STREET,N
9 KING EDWARD STREET,E
161A PACIFIC HIGHWAY,S
"UNIT 4, 18 PACIFIC HIGHWAY",SE
"UNIT 5, 18 PACIFIC HIGHWAY",W
"UNIT 6, 18 PACIFIC HIGHWAY",W
41 ARCHBOLD ROAD,SE
45A ARCHBOLD ROAD,NW
45 ARCHBOLD ROAD,NW
5 ARCHBOLD ROAD,SW
51 ARCHBOLD ROAD,SW
53 ARCHBOLD ROAD,SE
55 ARCHBOLD ROAD,SE
59 ARCHBOLD ROAD,W
63 ARCHBOLD ROAD,SE
1 DUNTROON AVENUE,SE
10 DUNTROON AVENUE,NW
11 DUNTROON AVENUE,NW
12 DUNTROON AVENUE,NE
14 DUNTROON AVENUE,E
15 DUNTROON AVENUE,W
18 DUNTROON AVENUE,NW
23 PARADISE AVENUE,SW
24 PARADISE AVENUE,NW
26 PARADISE AVENUE,NE
3 PARADISE AVENUE,NW
53 VICTORIA STREET,NW
55 VICTORIA STREET,NW
57 VICTORIA STREET,SE
49 PARK AVENUE,SE
5 PARK AVENUE,SE
50 PARK AVENUE,NW
51 PARK AVENUE,SE
52 PARK AVENUE,W
54 PARK AVENUE,NW
56 PARK AVENUE,NW
57 PARK AVENUE,W
67 DUNTROON AVENUE,W
68 DUNTROON AVENUE,SE
69 DUNTROON AVENUE,NW
7 DUNTROON AVENUE,NW
8 DUNTROON AVENUE,SE
9 DUNTROON AVENUE,SE
2 LUXOR PARADE,NW
"UNIT 8, 55 PACIFIC HIGHWAY",SE
"UNIT 9, 55 PACIFIC HIGHWAY",SE
62 PACIFIC HIGHWAY,NW
64 PACIFIC HIGHWAY,SE
66 PACIFIC HIGHWAY,SE
4 LUXOR PARADE,W
6 LUXOR PARADE,SE
8 LUXOR PARADE,W
962 PACIFIC HIGHWAY,W
98 PACIFIC HIGHWAY,W
1 VICTORIA STREET,SE
"UNIT 1, 10 VICTORIA STREET",W
"UNIT 4, 10 VICTORIA STREET",W
"UNIT 5, 10 VICTORIA STREET",W
2 PARADISE AVENUE,NW
58 PARK AVENUE,W
8 GREGORY STREET,NW
1 HAIG STREET,W
15 ORMONDE ROAD,SE
21 ORMONDE ROAD,NW
24A ORMONDE ROAD,NW
24 ORMONDE ROAD,W
28 ORMONDE ROAD,SE
32 ORMONDE ROAD,NW
5 ORMONDE ROAD,NW
7 ORMONDE ROAD,SE
9 ORMONDE ROAD,NE
46 DUNTROON AVENUE,NE
105 BOUNDARY STREET,NW
108 BOUNDARY STREET,NW
109 BOUNDARY STREET,NW
11 BOUNDARY STREET,SW
111 BOUNDARY STREET,W
113 BOUNDARY STREET,SW
114 BOUNDARY STREET,S
115 BOUNDARY STREET,SW
34 BOUNDARY STREET,E
35 BOUNDARY STREET,NE
47 BOUNDARY STREET,W
48 BOUNDARY STREET,SW
49 BOUNDARY STREET,NW
69 BOUNDARY STREET,NW
74 BOUNDARY STREET,SE
7 WILLIAM STREET,SE
70 WILLIAM STREET,SE
76 WILLIAM STREET,N
78 WILLIAM STREET,NW
82 WILLIAM STREET,W
37 PENSHURST STREET,N
4 PENSHURST STREET,E
"UNIT 2, 48 PENSHURST STREET",SE
"UNIT 3, 48 PENSHURST STREET",E
5 PENSHURST STREET,W
79 PENSHURST STREET,W
126A PENSHURST STREET,W
126 PENSHURST STREET,W
128A PENSHURST STREET,E
11 CEVU AVENUE,NW
2 CEVU AVENUE,NW
3 CEVU AVENUE,W
4 CEVU AVENUE,W
5 CEVU AVENUE,W
7 CEVU AVENUE,W
9 CEVU AVENUE,E
13A WALTER STREET,SE
13 WALTER STREET,W
15 WALTER STREET,E
16 WALTER STREET,SW
17 WALTER STREET,NW
18A WALTER STREET,NW
21 WALTER STREET,NW
22 WALTER STREET,NW
29A WALTER STREET,NE
29 WALTER STREET,SW
3 WALTER STREET,W
31 WALTER STREET,S
28 PENSHURST STREET,W
24 EDINBURGH ROAD,W
60 EDINBURGH ROAD,W
13 SALISBURY ROAD,S
14 SALISBURY ROAD,E
17 SALISBURY ROAD,S
5 WALTER STREET,W
8 STEPHEN STREET,S
10 WALTER STREET,W
8 FRENCHS ROAD,W
9 FRENCHS ROAD,N
13 ARTARMON ROAD,W
17 ARTARMON ROAD,W
"UNIT 1, 2 ARTARMON ROAD",W
"UNIT 109, 2 ARTARMON ROAD",W
"UNIT 11, 2 ARTARMON ROAD",W
1 PENSHURST STREET,S
10 PENSHURST STREET,S
100 PENSHURST STREET,W
12 WALTER STREET,N
11 SALISBURY ROAD,S
93A BOUNDARY STREET,W
4B THE HIGH TOR,S
155 EASTERN VALLEY WAY,S
"UNIT 2, 7 WEETALIBAH ROAD",W
"UNIT 2, 190 PACIFIC HIGHWAY",W
"UNIT 4, 190 PACIFIC HIGHWAY",E
"UNIT 5, 190 PACIFIC HIGHWAY",E
"UNIT 6, 190 PACIFIC HIGHWAY",W
190 PACIFIC HIGHWAY,W
12 SPEARMAN STREET,W
16 SPEARMAN STREET,SW
20 SPEARMAN STREET,W
22 SPEARMAN STREET,E
7 THOMAS AVENUE,E
"UNIT 12, 22 NEEWORRA ROAD",SW
16 THE RAMPART,N
90 BOUNDARY STREET,W
92 BOUNDARY STREET,N
93 BOUNDARY STREET,W
97 BOUNDARY STREET,N
43 DUNTROON AVENUE,S
50 DUNTROON AVENUE,S
51 DUNTROON AVENUE,S
54 DUNTROON AVENUE,N
55 DUNTROON AVENUE,E
58 DUNTROON AVENUE,S
59 DUNTROON AVENUE,W
6 DUNTROON AVENUE,N
"UNIT 5, 12 AMAROO AVENUE",NE
112-116 PACIFIC HIGHWAY,W
54B KAMERUKA ROAD,W
"UNIT 2, 77 WARRANE ROAD",W
"UNIT 8, 77 WARRANE ROAD",E
"APARTMENT 209A, 34 PENSHURST STREET",E
"UNIT 4, 1 VICTORIA STREET",E
"UNIT 6, 3 VICTORIA STREET",E
"UNIT 106, 5 VICTORIA STREET",W
"UNIT 2, 5 VICTORIA STREET",E
"UNIT 402, 5 VICTORIA STREET",N
"UNIT 302, 1 VICTORIA STREET",E
"UNIT 107, 3 VICTORIA STREET",S
"UNIT 3, 1 VICTORIA STREET",N
"UNIT 203, 5 VICTORIA STREET",N
45 PENSHURST STREET,N
"UNIT 2, 63 PENSHURST STREET",N
"UNIT 17, 71-77 PENSHURST STREET",E
"UNIT 6, 25 PACIFIC HIGHWAY",W
"UNIT 2, 67 PACIFIC HIGHWAY",E
"UNIT 11, 36 PACIFIC HIGHWAY",W
"UNIT 8, 36 PACIFIC HIGHWAY",W
"UNIT 12, 26A PACIFIC HIGHWAY",W
"UNIT 9, 26A PACIFIC HIGHWAY",N
81B PACIFIC HIGHWAY,W
"UNIT 6, 26A PACIFIC HIGHWAY",W
"UNIT 18, 25 PACIFIC HIGHWAY",W
"UNIT 5, 36 PACIFIC HIGHWAY",W
"UNIT 10, 36 PACIFIC HIGHWAY",W
"UNIT 3, 36 PACIFIC HIGHWAY",W
"UNIT 5, 26A PACIFIC HIGHWAY",W
"UNIT 8, 26A PACIFIC HIGHWAY",W
"UNIT 4, 25 PACIFIC HIGHWAY",E
"UNIT 14, 26A PACIFIC HIGHWAY",E
"UNIT 6, 36 PACIFIC HIGHWAY",E
"UNIT 17, 25 PACIFIC HIGHWAY",E
"UNIT 20, 25 PACIFIC HIGHWAY",W
"UNIT 9, 25 PACIFIC HIGHWAY",S
"UNIT 3, 67 PACIFIC HIGHWAY",S
"UNIT 15, 26A PACIFIC HIGHWAY",W
"UNIT 1, 25 PACIFIC HIGHWAY",W
"UNIT 2, 60 WILLIAM STREET",W
"UNIT 13, 177 PACIFIC HIGHWAY",W
"UNIT 15, 182 PACIFIC HIGHWAY",W
26 SALISBURY ROAD,E
"UNIT 4, 139 SYDNEY STREET",E
8A SUMMERVILLE CRESCENT,E
"UNIT 1, 26A PACIFIC HIGHWAY",NE
942A PACIFIC HIGHWAY,N
"UNIT 4, 142 PACIFIC HIGHWAY",SW
"UNIT 2, 148 PACIFIC HIGHWAY",SW
"UNIT 6, 148 PACIFIC HIGHWAY",E
"UNIT 20, 16 TRAFALGAR AVENUE",NE
"UNIT 25, 16 TRAFALGAR AVENUE",SW
"UNIT 28, 16 TRAFALGAR AVENUE",NE
1A PARADISE AVENUE,SW
"UNIT 6, 67 PACIFIC HIGHWAY",SW
"UNIT 1, 83 PACIFIC HIGHWAY",W
43 TUNKS STREET,N
46 TUNKS STREET,E
49 TUNKS STREET,NW
111 KAMERUKA ROAD,NE
116 KAMERUKA ROAD,W
122 KAMERUKA ROAD,SW
124 KAMERUKA ROAD,W
13 KAMERUKA ROAD,NW
17 KAMERUKA ROAD,N
18 KAMERUKA ROAD,SW
19 KAMERUKA ROAD,N
11A THE OUTPOST,SW
"UNIT 614, 1015 PACIFIC HIGHWAY",NE
"UNIT 605, 1015 PACIFIC HIGHWAY",N
17A ARTARMON ROAD,W
8 REMBRANDT DRIVE,S
79 REMBRANDT DRIVE,S
6 REMBRANDT DRIVE,W
"UNIT 117, 1015 PACIFIC HIGHWAY",N
"UNIT 611, 1015 PACIFIC HIGHWAY",N
"UNIT 519, 1015 PACIFIC HIGHWAY",S
"UNIT 416, 1015 PACIFIC HIGHWAY",N
"UNIT 607, 1015 PACIFIC HIGHWAY",NE
64A TYNESIDE AVENUE,NW
41 ALEXANDER AVENUE,E
"UNIT 419, 1015 PACIFIC HIGHWAY",E
"UNIT 305, 1015 PACIFIC HIGHWAY",SW
"UNIT 406, 1015 PACIFIC HIGHWAY",S
"UNIT 318, 1015 PACIFIC HIGHWAY",W
"UNIT 108, 1015 PACIFIC HIGHWAY",E
"UNIT 404, 1015 PACIFIC HIGHWAY",W
266 EASTERN VALLEY WAY,S
272 EASTERN VALLEY WAY,SW
274 EASTERN VALLEY WAY,W
276 EASTERN VALLEY WAY,SE
278 EASTERN VALLEY WAY,W
282 EASTERN VALLEY WAY,NW
286 EASTERN VALLEY WAY,SW
288 EASTERN VALLEY WAY,E
290A EASTERN VALLEY WAY,NW
294 EASTERN VALLEY WAY,N
298 EASTERN VALLEY WAY,N
10 THE OUTPOST,SW
8B HARDEN AVENUE,NE
446 PENSHURST STREET,NE
448 PENSHURST STREET,SW
456 PENSHURST STREET,NW
36A WILLIAM STREET,SW
39 FRENCHS ROAD,SE
9 ROCKLEY STREET,W
15 MINNAMURRA ROAD,E
9 PYALLA STREET,E
1 WEEMALA ROAD,W
12 WEEMALA ROAD,NE
13 WEEMALA ROAD,S
15 WEEMALA ROAD,W
33 WEEMALA ROAD,NW
34 WEEMALA ROAD,N
36 WEEMALA ROAD,W
42 TYNESIDE AVENUE,W
66 WARRANE ROAD,E
72 WARRANE ROAD,W
120-128 SYDNEY STREET,S
16 VICTORIA AVENUE,NW
16 HARDEN AVENUE,W
1 WIDGIEWA ROAD,NW
75 GRIFFITH AVENUE,NE
3 ROSEWALL STREET,NW
29 ROSEWALL STREET,NW
27 ROSEWALL STREET,NW
10 ALEXANDER AVENUE,SW
58 WARRANE ROAD,W
56 WARRANE ROAD,E
53 WARRANE ROAD,E
52 WARRANE ROAD,NE
49 WARRANE ROAD,SW
44 WARRANE ROAD,N
38 WARRANE ROAD,N
9A BLAKESLEY STREET,SE
"UNIT 2, 1A MABEL STREET",SW
"UNIT 1, 1A MABEL STREET",NW
468B PENSHURST STREET,N
"UNIT 4, 147-153 SYDNEY STREET",NW
"UNIT 18, 147-153 SYDNEY STREET",SW
"UNIT 16, 147-153 SYDNEY STREET",SW
"UNIT 14, 147-153 SYDNEY STREET",SE
"UNIT 13, 147-153 SYDNEY STREET",N
"UNIT 12, 147-153 SYDNEY STREET",W
"UNIT 10, 147-153 SYDNEY STREET",E
"UNIT 1, 147-153 SYDNEY STREET",E
144 SYDNEY STREET,E
"UNIT 8, 2-4 CHURCH STREET",NE
"UNIT 7, 2-4 CHURCH STREET",W
"UNIT 6, 2-4 CHURCH STREET",W
"UNIT 4, 2-4 CHURCH STREET",W
"UNIT 3, 2-4 CHURCH STREET",E
"UNIT 2, 2-4 CHURCH STREET",W
"UNIT 14, 2-4 CHURCH STREET",W
"UNIT 13, 2-4 CHURCH STREET",E
"UNIT 12, 2-4 CHURCH STREET",N
"UNIT 11, 2-4 CHURCH STREET",N
"UNIT 1, 2-4 CHURCH STREET",NE
"UNIT 9, 1-3 CHURCH STREET",NE
"UNIT 7, 1-3 CHURCH STREET",N
2 ALEXANDER AVENUE,E
19 ALEXANDER AVENUE,W
16 ALEXANDER AVENUE,W
15 ALEXANDER AVENUE,S
13 ALEXANDER AVENUE,N
11 ALEXANDER AVENUE,N
97 WARRANE ROAD,NE
94 WARRANE ROAD,W
92 WARRANE ROAD,W
90 WARRANE ROAD,E
"UNIT 10, 12 AMAROO AVENUE",W
"UNIT 8, 12 AMAROO AVENUE",S
1A WALTER STREET,NE
77 WARRANE ROAD,NE
1 TENILBA ROAD,NE
10 TENILBA ROAD,NE
11 TENILBA ROAD,NE
12 TENILBA ROAD,NW
14 TENILBA ROAD,NW
"UNIT 2, 2 TENILBA ROAD",NW
2 TENILBA ROAD,NW
3A TENILBA ROAD,NW
3 TENILBA ROAD,NW
4 TENILBA ROAD,W
7 TENILBA ROAD,W
8 TENILBA ROAD,NW
15 TELAK CLOSE,W
8 THE RAMPART,SE
1 THE BARRICADE,E
15 THE BARRICADE,W
7 THE RAMPART,W
9 THE RAMPART,E
14 THE BARBETTE,NE
16 THE BARBETTE,SW
18 THE BARBETTE,SW
2 THE BARBETTE,SW
4 THE BARBETTE,SW
5 THE BARBETTE,W
9 THE BARBETTE,W
72 SUGARLOAF CRESCENT,SW
73 SUGARLOAF CRESCENT,SW
3A HARDEN AVENUE,NW
1 EDITH STREET,S
11 EDITH STREET,SW
13 EDITH STREET,SW
15A EDITH STREET,SW
15 EDITH STREET,SW
17 EDITH STREET,SW
3 THE RAMPART,NE
"UNIT 64, 16 TRAFALGAR AVENUE",NW
10 HARBOUR LANE,NW
"UNIT 3, 180 PACIFIC HIGHWAY",SW
"UNIT 10, 184 PACIFIC HIGHWAY",SW
"UNIT 12, 184 PACIFIC HIGHWAY",SW
"UNIT 14, 184 PACIFIC HIGHWAY",SW
62 GRIFFITH AVENUE,SW
63 GRIFFITH AVENUE,SW
65 GRIFFITH AVENUE,SW
7 GRIFFITH AVENUE,NW
9 GRIFFITH AVENUE,NE
1 KOONGARA ROAD,SW
10 KOONGARA ROAD,SW
25 DUNTROON AVENUE,NW
26 DUNTROON AVENUE,NE
29 DUNTROON AVENUE,SW
3 DUNTROON AVENUE,E
33 CALGA STREET,E
34 CALGA STREET,E
37 CALGA STREET,E
5 CALGA STREET,NE
6 CALGA STREET,E
7 CALGA STREET,E
8 CALGA STREET,E
3 THE GROVE,SW
1 THOMAS AVENUE,W
45 BABBAGE ROAD,W
7 DUDLEY AVENUE,W
8 DUDLEY AVENUE,W
14 ALLAN STREET,W
16 ALLAN STREET,W
17 ALLAN STREET,SW
4 ALLAN STREET,SW
5 ALLAN STREET,W
16A DEEPWATER ROAD,SE
24 BYORA CRESCENT,E
212 SYDNEY STREET,W
"UNIT 6, 147-153 SYDNEY STREET",W
"UNIT 5, 147-153 SYDNEY STREET",W
"UNIT 102, 1-11 VICTORIA STREET",E
134 EASTERN VALLEY WAY,SE
108 EASTERN VALLEY WAY,E
52A PENSHURST STREET,W
11 PYALLA STREET,NW
13 PYALLA STREET,W
14 PYALLA STREET,NW
15 PYALLA STREET,NW
16 PYALLA STREET,SE
17 PYALLA STREET,E
20 PYALLA STREET,W
21 PYALLA STREET,W
23 PYALLA STREET,W
6 PYALLA STREET,W
7 PYALLA STREET,W
"UNIT 105, 2 ARTARMON ROAD",W
"UNIT 2, 24 HORSLEY AVENUE",W
24A HORSLEY AVENUE,E
"UNIT 8, 139 SYDNEY STREET",W
"UNIT 3, 139 SYDNEY STREET",W
2A WALTER STREET,E
"UNIT 3, 490 PENSHURST STREET",W
"UNIT 4, 490 PENSHURST STREET",W
"UNIT 1, 457 PENSHURST STREET",NW
68D MOWBRAY PLACE,E
68B MOWBRAY PLACE,E
22 FRENCHS ROAD,NW
48 FRENCHS ROAD,W
44 GRIFFITH AVENUE,W
"UNIT 1, 12 FRENCHS ROAD",S
30 FRENCHS ROAD,W
"UNIT 2, 188 PACIFIC HIGHWAY",W
"UNIT 14, 182 PACIFIC HIGHWAY",E
"UNIT 12, 182 PACIFIC HIGHWAY",E
"UNIT 8, 182 PACIFIC HIGHWAY",E
106B SYDNEY STREET,SW
"UNIT 8, 143 SYDNEY STREET",NE
"UNIT 18, 143 SYDNEY STREET",S
10 BOUNDARY STREET,N
"UNIT 1, 8 BOUNDARY STREET",S
"UNIT 3, 8 BOUNDARY STREET",N
"UNIT 1, 60 BOUNDARY STREET",N
"UNIT 15, 143 SYDNEY STREET",E
"UNIT 13, 143 SYDNEY STREET",E
"UNIT 10, 143 SYDNEY STREET",E
"UNIT 15, 139 SYDNEY STREET",E
161 SYDNEY STREET,E
"UNIT 11, 143 SYDNEY STREET",E
"UNIT 3, 143 SYDNEY STREET",E
3A HUDSON AVENUE,E
"UNIT 24, 2 ARTARMON ROAD",E
27A ARCHBOLD ROAD,E
"UNIT 12, 139 SYDNEY STREET",E
"UNIT 1, 73 GRIFFITH AVENUE",S
"UNIT 17, 118-122 PACIFIC HIGHWAY",S
"UNIT 5, 136 PACIFIC HIGHWAY",E
"UNIT 3, 148 PACIFIC HIGHWAY",S
170A PACIFIC HIGHWAY,S
"UNIT 1, 136 PACIFIC HIGHWAY",E
"UNIT 5, 143 SYDNEY STREET",S
"UNIT 2, 2-14 PACIFIC HIGHWAY",S
"UNIT 5, 2-14 PACIFIC HIGHWAY",E
"UNIT 7, 2-14 PACIFIC HIGHWAY",S
"UNIT 8, 2-14 PACIFIC HIGHWAY",S
"UNIT 9, 2-14 PACIFIC HIGHWAY",E
"UNIT 11, 2-14 PACIFIC HIGHWAY",S
1-3 CHURCH STREET,S
87A PENSHURST STREET,E
102 PENSHURST STREET,S
66 PENSHURST STREET,S
96-98 PENSHURST STREET,E
39 PENSHURST STREET,S
"SHOP 2, 100 PENSHURST STREET",S
"SHOP 6, 71-77 PENSHURST STREET",E
"SHOP 7, 71-77 PENSHURST STREET",S
"SHOP 9, 71-77 PENSHURST STREET",S
48A EDINBURGH ROAD,E
"UNIT 3, 25 PACIFIC HIGHWAY",S
"SUITE 1, 63 PENSHURST STREET",S
"UNIT 1, 67 PENSHURST STREET",E
"SUITE 11, 71-77 PENSHURST STREET",S
"UNIT 14, 71-77 PENSHURST STREET",S
"SUITE 15, 71-77 PENSHURST STREET",E
"SUITE 19, 71-77 PENSHURST STREET",NW
"UNIT 2, 136 PACIFIC HIGHWAY",NW
"UNIT 7, 25 PACIFIC HIGHWAY",E
10 TRAFALGAR AVENUE,S
82 MACQUARIE STREET,S
49 WARRANE ROAD,E
"UNIT 7, 139 SYDNEY STREET",S
"UNIT 10, 139 SYDNEY STREET",S
"UNIT 11, 139 SYDNEY STREET",E
"UNIT 4, 143 SYDNEY STREET",S
"UNIT 6, 143 SYDNEY STREET",S
133-137 SYDNEY STREET,E
139 SYDNEY STREET,S
"UNIT 20, 177 PACIFIC HIGHWAY",S
"UNIT 13, 118-122 PACIFIC HIGHWAY",E
"UNIT 19, 118-122 PACIFIC HIGHWAY",S
"UNIT 1, 118-122 PACIFIC HIGHWAY",S
"UNIT 8, 136 PACIFIC HIGHWAY",E
"UNIT 7, 142 PACIFIC HIGHWAY",S
"UNIT 7, 136 PACIFIC HIGHWAY",S
7A WILLIAM STREET,E
"UNIT 1, 5A WILLIAM STREET",S
"UNIT 16, 177 PACIFIC HIGHWAY",S
"UNIT 3, 188 PACIFIC HIGHWAY",E
"UNIT 17, 177 PACIFIC HIGHWAY",S
"UNIT 7, 177 PACIFIC HIGHWAY",S
"UNIT 8, 177 PACIFIC HIGHWAY",E
"UNIT 5, 177 PACIFIC HIGHWAY",S
"UNIT 4, 188 PACIFIC HIGHWAY",S
"UNIT 6, 142 PACIFIC HIGHWAY",E
"UNIT 1, 67 PACIFIC HIGHWAY",S
"UNIT 11, 25 PACIFIC HIGHWAY",S
130 PACIFIC HIGHWAY,E
"UNIT 3, 177 PACIFIC HIGHWAY",S
"UNIT 11, 177 PACIFIC HIGHWAY",S
163 PACIFIC HIGHWAY,E
"UNIT 2, 163 PACIFIC HIGHWAY",SE
"UNIT 3, 163 PACIFIC HIGHWAY",SE
"UNIT 5, 163 PACIFIC HIGHWAY",S
"UNIT 6, 163 PACIFIC HIGHWAY",S
"UNIT 4, 132 PACIFIC HIGHWAY",E
"UNIT 5, 118-122 PACIFIC HIGHWAY",S
"UNIT 6, 118-122 PACIFIC HIGHWAY",S
"UNIT 15, 118-122 PACIFIC HIGHWAY",E
"UNIT 16, 118-122 PACIFIC HIGHWAY",S
"UNIT 20, 118-122 PACIFIC HIGHWAY",S
"UNIT 3, 962 PACIFIC HIGHWAY",E
"UNIT 23, 25 PACIFIC HIGHWAY",NW
21 KING EDWARD STREET,NW
36 SALISBURY ROAD,NW
24 VICTORIA STREET,NW
"UNIT 13, 2-14 PACIFIC HIGHWAY",NW
"UNIT 17, 2-14 PACIFIC HIGHWAY",NW
"UNIT 19, 2-14 PACIFIC HIGHWAY",NW
"UNIT 20, 2-14 PACIFIC HIGHWAY",NW
"UNIT 24, 2-14 PACIFIC HIGHWAY",W
"UNIT 25, 2-14 PACIFIC HIGHWAY",SE
96B PACIFIC HIGHWAY,E
"UNIT 1, 110 PACIFIC HIGHWAY",NW
"UNIT 2, 110 PACIFIC HIGHWAY",NW
"UNIT 1, 132A PACIFIC HIGHWAY",W
"UNIT 5, 132 PACIFIC HIGHWAY",W
"UNIT 6, 132 PACIFIC HIGHWAY",W
123 SYDNEY STREET,NW
488 PENSHURST STREET,W
490 PENSHURST STREET,NW
"UNIT 2, 478-484 PENSHURST STREET",NW
"UNIT 4, 478-484 PENSHURST STREET",SE
"UNIT 3, 478-484 PENSHURST STREET",NW
"UNIT 1, 478-484 PENSHURST STREET",NW
29D BABBAGE ROAD,NW
29E BABBAGE ROAD,NW
"UNIT 1, 31 BABBAGE ROAD",NW
25 BARANA PARADE,NW
958C PACIFIC HIGHWAY,NW
"UNIT 1, 36 PACIFIC HIGHWAY",NW
"UNIT 1, 490 PENSHURST STREET",NW
"UNIT 7, 100 PENSHURST STREET",NW
"UNIT 104, 2 ARTARMON ROAD",NW
19 BABBAGE ROAD,NW
29A BABBAGE ROAD,NW
29B BABBAGE ROAD,NW
"UNIT 7, 118-122 PACIFIC HIGHWAY",W
"UNIT 18, 118-122 PACIFIC HIGHWAY",NW
"UNIT 8, 142 PACIFIC HIGHWAY",SE
"UNIT 17, 16 TRAFALGAR AVENUE",SE
22A ORMONDE ROAD,NW
28 SCOTT CRESCENT,SE
86A PACIFIC HIGHWAY,E
106B PACIFIC HIGHWAY,W
105B MACQUARIE STREET,W
"UNIT 46, 16 TRAFALGAR AVENUE",S
"UNIT 48, 16 TRAFALGAR AVENUE",NW
"UNIT 51, 16 TRAFALGAR AVENUE",NW
28 OAKVILLE ROAD,S
2 OAKVILLE ROAD,S
31A OAKVILLE ROAD,S
33 OAKVILLE ROAD,S
41 TYNESIDE AVENUE,S
43 TYNESIDE AVENUE,S
49 TYNESIDE AVENUE,S
161A ASHLEY STREET,S
43A ASHLEY STREET,W
89 ASHLEY STREET,W
97 ASHLEY STREET,W
97A ASHLEY STREET,W
68 MACQUARIE STREET,W
70 MACQUARIE STREET,W
"UNIT 20, 34 PENSHURST STREET",W
"UNIT 23, 34 PENSHURST STREET",W
"UNIT 24, 34 PENSHURST STREET",N
"UNIT 25, 34 PENSHURST STREET",NE
"UNIT 26, 34 PENSHURST STREET",NW
"UNIT 27, 34 PENSHURST STREET",NW
"UNIT 28, 34 PENSHURST STREET",W
"UNIT 29, 34 PENSHURST STREET",S
985 PACIFIC HIGHWAY,S
"UNIT 1, 4 SPEARMAN STREET",S
"UNIT 2, 4 SPEARMAN STREET",N
6A SPEARMAN STREET,SW
"UNIT 1, 220 SYDNEY STREET",S
"UNIT 1, 224 SYDNEY STREET",S
"UNIT 11, 12 AMAROO AVENUE",N
